SW;SCF;LW;LCF;CFnet;Fnet;SW_surf;LW_surf;LH;SH;Lf_snow;Fnet_surf;Fnet_toa_min_surf;CC;LWP;LWP_oc;IWP;PWAT;Prcp_lsc;Prcp_cv;Prcp_tot;Prcp_snow;Prcp_rain;Temp_srf;Temp_2m;CC3d;LWC;IWC;TWC;Q;Temp_tot;AOD;CDNC;ICNC;W_LARGE;W_TURB;v;u;omega;burden_SO4;burden_BC;burden_OC;burden_SS;burden_DU;incl_cdnc;incl_icnc
238.25633;-50.198334;-237.77087;24.389086;-25.80925;0.4854555;161.89928;-51.30731;-86.91932;-23.001982;-0.6391195;0.03155388;0.45390162;68.687035;64.430885;69.144615;14.833886;26.266249;0.97707856;2.0325003;3.009579;0.16547775;2.8441012;288.45807;287.6902;13.01496;6.3017282;1.5330976;7.8348255;2.6429896;251.54388;0.10972524;3.144814;0.08135054;5.890279e-05;0.080144405;0.005624334;7.0994563;-0.00018734045;4.030258e-06;2.6921182e-07;1.9893512e-06;7.591912e-06;2.9042552e-05;66.795685;412.68015
238.23897;-50.30179;-237.5889;24.501507;-25.80028;0.6500632;161.77003;-51.51404;-86.252045;-23.171577;-0.65287316;0.17950746;0.47055578;68.617874;64.477066;70.25385;14.8810625;26.440435;0.9790287;2.0067053;2.985734;0.16903879;2.8166952;288.58688;287.8412;12.996812;6.241064;1.5413282;7.7823925;2.6602712;251.53383;0.113126576;3.1092963;0.08211651;5.6734643e-05;0.080407225;0.001327439;7.2701197;-0.00016454267;4.268965e-06;2.7582473e-07;2.0071716e-06;7.697707e-06;2.9385299e-05;65.73898;413.3144
238.21834;-50.211193;-237.99141;24.36016;-25.851032;0.22692674;161.71773;-51.74802;-86.13893;-23.482855;-0.6346281;-0.2867019;0.5136286;68.45417;64.54448;69.96879;14.798835;26.29093;0.977606;2.0040362;2.981642;0.16431487;2.8173273;288.63315;287.88614;12.944059;6.3201456;1.504678;7.8248234;2.6461926;251.58176;0.116750285;3.1314917;0.08082038;5.2777737e-05;0.08035758;0.0007269834;7.1223283;-0.0001522619;4.49922e-06;2.8754116e-07;2.077071e-06;7.9261545e-06;3.2148735e-05;66.31203;410.10098
238.379;-50.20637;-237.50015;24.62675;-25.57962;0.8788386;161.81563;-51.46441;-85.93874;-23.481136;-0.633533;0.29780632;0.5810323;69.189224;64.45318;69.78196;14.878362;26.449627;0.9723323;2.003181;2.9755132;0.16403131;2.811482;288.67908;287.8722;13.004405;6.4210615;1.5639892;7.9850507;2.6666067;251.58868;0.11377503;3.1279852;0.082490586;4.978707e-05;0.082177125;0.0059840083;7.1095057;-0.00013669675;4.3947803e-06;2.7885872e-07;2.0314028e-06;7.4906943e-06;2.9996228e-05;65.59577;411.54242
238.2059;-50.10617;-237.84206;24.420195;-25.685978;0.36383942;161.64418;-51.508194;-86.245224;-23.427362;-0.64079994;-0.17739128;0.5412307;68.82333;64.24733;69.67834;14.865653;26.403744;0.98061156;2.0056481;2.9862597;0.16591285;2.8203468;288.6076;287.87714;12.9416065;6.283587;1.5605541;7.844141;2.655143;251.68063;0.1226858;3.087607;0.081003554;5.7968187e-05;0.08150614;0.015223058;7.070865;-0.00018276204;4.50636e-06;2.8426632e-07;2.071784e-06;7.955741e-06;3.553345e-05;65.89822;409.24942
237.8515;-50.545677;-237.59937;24.56507;-25.980608;0.25214058;161.26952;-51.31889;-86.1466;-23.259134;-0.6549725;-0.110080555;0.36222112;68.96368;65.34192;70.50506;14.946162;26.512083;0.993005;1.9893394;2.9823444;0.16958232;2.812762;288.5817;287.8489;13.062685;6.4325614;1.5036522;7.936214;2.6700418;251.64903;0.11820516;3.1638064;0.0819564;5.5406406e-05;0.081007846;-0.006158772;7.3136864;-0.0001863222;4.447175e-06;2.8358443e-07;2.0508858e-06;7.847136e-06;3.298844e-05;65.39724;418.84512
238.29436;-49.844547;-237.91444;24.335764;-25.508781;0.37992054;161.80777;-51.82961;-86.08878;-23.365582;-0.64686304;-0.12306282;0.50298333;68.391495;63.991394;69.442375;14.86459;26.237873;0.97694016;2.0038698;2.98081;0.16748267;2.8133273;288.5958;287.79382;12.975513;6.2967567;1.5228164;7.8195734;2.6461303;251.4975;0.1256998;3.104078;0.080412716;6.0467064e-05;0.080121815;-0.0046625887;6.940675;-0.00022892174;4.4448957e-06;2.855739e-07;2.0483928e-06;7.802998e-06;4.2522726e-05;66.07609;416.8268
237.8689;-50.28584;-237.91978;24.331251;-25.95459;-0.05088163;161.39117;-51.68193;-86.22986;-23.38528;-0.63842267;-0.5443241;0.4934425;68.502525;65.42678;70.70574;14.772835;26.329876;0.97159696;2.011997;2.983594;0.16529733;2.8182967;288.5952;287.8363;12.973196;6.3630924;1.5551372;7.9182296;2.6478193;251.5463;0.11970461;3.1708186;0.08012584;6.0768085e-05;0.08163378;0.010734316;7.0226455;-0.00021003446;4.4105686e-06;2.7877624e-07;1.952157e-06;7.849382e-06;3.94965e-05;65.64336;413.026
238.24493;-49.884228;-238.02385;24.203407;-25.680822;0.22108589;161.74638;-51.853294;-86.01211;-23.498764;-0.63881737;-0.25659388;0.47767976;68.10298;64.0482;69.749054;14.758627;26.344486;0.97388464;2.0031273;2.9770122;0.16539952;2.8116126;288.5532;287.74707;12.866598;6.279791;1.5757867;7.8555775;2.6403356;251.62239;0.12168713;3.0754619;0.080862366;7.087349e-05;0.08146388;-0.004743227;7.0999656;-0.00025527467;4.5409015e-06;2.8404122e-07;1.9972604e-06;7.930896e-06;4.136583e-05;65.21944;414.99673
238.0355;-50.221317;-237.9347;24.401028;-25.820288;0.10081408;161.53644;-51.64461;-86.18699;-23.56907;-0.64414036;-0.50837165;0.60918576;68.6994;64.36635;70.16325;14.887934;26.389162;0.9878335;1.9948219;2.9826555;0.16677773;2.8158777;288.62125;287.8642;12.938692;6.383914;1.5166335;7.9005475;2.6572049;251.65434;0.12235115;3.0759208;0.08130706;4.9900296e-05;0.08084409;-0.013542791;7.1484785;-0.00013433964;4.473376e-06;2.7755974e-07;1.959135e-06;7.907601e-06;3.4858887e-05;68.46424;413.8822
