SW;SCRE;LW;LCRE;CFnet;Fnet;SW_surf;LW_surf;LH;SH;Lf_snow;Fnet_surf;Fnet_toa_min_surf;CC;LWP;IWP;PWAT;Prcp_lsc;Prcp_cv;Prcp_tot;Prcp_snow;Prcp_rain;Temp_srf;Temp_2m;burden_CDNC;burden_ICNC;burden_SO4;burden_BC;burden_OC;burden_SS;burden_DU
237.97734;-50.69562;-237.6388;24.51861;-26.177013;0.3385399;161.518;-50.80506;-87.34655;-22.999514;-0.6323536;-0.26547945;0.60401934;69.02086;65.24985;14.877402;26.467146;1.0009986;2.0214534;3.022452;0.16372596;2.8587263;288.50436;287.7645;3.1715667;0.081194185;3.999063e-06;2.6489465e-07;1.954598e-06;7.73502e-06;2.3574114e-05
238.06653;-50.26377;-237.87009;24.480604;-25.783165;0.1964456;161.57892;-51.49644;-86.11947;-23.489874;-0.6291049;-0.15597771;0.3524233;68.646736;64.9962;14.838089;26.337404;0.984421;1.9984436;2.9828646;0.16288482;2.81998;288.6264;287.86795;3.1623607;0.081785716;4.3038312e-06;2.8041015e-07;2.0702373e-06;7.817946e-06;3.503176e-05
238.06642;-50.388103;-237.59508;24.4977;-25.890404;0.47134823;161.53079;-51.313194;-85.98421;-23.519228;-0.6536261;0.060532175;0.41081607;68.750305;65.254654;14.863238;26.428661;0.9823912;1.9961174;2.9785085;0.16923372;2.809275;288.59558;287.81168;3.1972163;0.08268159;4.424748e-06;2.7936036e-07;2.0151374e-06;7.5638122e-06;3.137201e-05
238.14337;-50.30925;-237.78767;24.499979;-25.809269;0.35569474;161.61195;-51.477585;-86.252426;-23.45183;-0.63459206;-0.20448035;0.5601751;68.87626;65.07571;14.809221;26.438091;0.98192966;2.0024338;2.9843633;0.16430552;2.8200579;288.6513;287.9105;3.1790648;0.08174362;4.45149e-06;2.833479e-07;2.0570237e-06;7.945423e-06;3.0164842e-05
238.16806;-50.014885;-237.99405;24.370003;-25.644882;0.17401065;161.5598;-51.68533;-85.95509;-23.39861;-0.65748256;-0.1367156;0.31072626;68.36924;64.9012;14.888331;26.463734;0.98569083;1.990761;2.9764519;0.17023222;2.8062196;288.67847;287.90527;3.1440127;0.08166078;4.5441934e-06;2.9232314e-07;2.1102087e-06;7.958018e-06;4.370922e-05
237.91348;-50.310318;-237.58115;24.324905;-25.985413;0.3323404;161.32042;-51.39769;-86.45652;-23.158278;-0.6509726;-0.34304076;0.6753812;68.626434;65.1874;14.782064;26.429823;0.9861066;2.0049796;2.9910862;0.16854669;2.8225396;288.51486;287.80566;3.1419497;0.080038406;4.4011026e-06;2.8414308e-07;2.011225e-06;7.741811e-06;3.9325478e-05
237.74866;-50.419983;-237.9352;24.359552;-26.060432;-0.18653835;161.12697;-51.446934;-85.99073;-23.674395;-0.6453082;-0.630407;0.44386864;68.610565;65.35147;14.861479;26.38141;0.99282306;1.9847722;2.9775953;0.16708009;2.8105152;288.62134;287.92853;3.1541677;0.08139962;4.4598064e-06;2.8770023e-07;2.0479429e-06;7.967219e-06;4.2656196e-05
237.88545;-50.243774;-237.47334;24.633747;-25.610027;0.4121179;161.3141;-51.55337;-85.814644;-23.481096;-0.64425355;-0.17925304;0.59137094;69.00434;64.44888;14.975255;26.4259;0.98465985;1.9859661;2.9706259;0.16680703;2.803819;288.63504;287.87915;3.077651;0.08132043;4.521062e-06;2.8695985e-07;2.0084174e-06;7.909591e-06;4.3039683e-05
238.12958;-50.15346;-237.82841;24.406467;-25.746994;0.30115637;161.54489;-51.568848;-85.90927;-23.557808;-0.6472735;-0.13830416;0.43946052;68.58357;64.80937;14.780623;26.467138;0.9836194;1.9885353;2.9721546;0.16758895;2.8045657;288.63144;287.86542;3.1263163;0.08206052;4.4781955e-06;2.856887e-07;2.0495795e-06;7.888577e-06;3.817884e-05
238.00313;-50.377655;-237.90196;24.454035;-25.923618;0.10116841;161.51389;-51.659634;-86.01401;-23.673866;-0.662763;-0.49638033;0.5975487;68.20436;64.66178;14.949002;26.476;0.9846211;1.9926596;2.9772806;0.17159942;2.8056812;288.6336;287.85245;3.1201727;0.08329034;4.4367653e-06;2.7914587e-07;1.988078e-06;7.861293e-06;2.9869509e-05
