SW;SCF;LW;LCF;CFnet;Fnet;SW_surf;LW_surf;LH;SH;Lf_snow;Fnet_surf;Fnet_toa_min_surf;CC;LWP;LWP_oc;IWP;PWAT;Prcp_lsc;Prcp_cv;Prcp_tot;Prcp_snow;Prcp_rain;Evap;Prcp_minus_evap;Temp_srf;Temp_2m;CC3d;LWC;IWC;TWC;Q;Temp_tot;AOD;CDNC;ICNC;W_LARGE;W_TURB;v;u;omega;burden_SO4;burden_BC;burden_OC;burden_SS;burden_DU;incl_cdnc;incl_icnc
237.52116;-50.927956;-237.63518;24.542774;-26.385183;-0.114019364;160.94704;-50.723297;-87.49706;-22.759174;-0.65862525;-0.6911232;0.57710385;68.9961;66.217964;70.83076;14.905742;26.54909;1.0004799;2.0271761;3.027656;0.17052808;2.8571281;-3.021287;0.0063692373;288.46857;287.74088;13.07377;6.5072703;1.5516984;8.058969;2.6761596;251.66183;0.11626825;3.2143114;0.08223245;5.4803524e-05;0.081306286;-0.0024977718;7.3027043;-0.0001510379;3.970863e-06;2.721213e-07;2.00341e-06;7.724043e-06;3.0917196e-05;66.22125;420.3758
237.7988;-50.605694;-237.40038;24.575972;-26.02972;0.39842826;161.26602;-51.14902;-86.63902;-22.917294;-0.65489787;-0.094210036;0.4926383;69.13841;65.54167;70.36274;14.884858;26.513002;0.99155587;2.0083117;2.9998677;0.16956301;2.8303046;-2.9915686;0.0082991;288.56567;287.765;13.062789;6.4887166;1.5553011;8.044018;2.6613476;251.57454;0.10900994;3.1838722;0.08171889;5.47224e-05;0.08058309;0.0018414421;7.2322917;-0.0001646647;4.127352e-06;2.7246995e-07;1.9785266e-06;7.5827156e-06;3.2228898e-05;66.01893;410.81525
238.0809;-50.292988;-237.86632;24.481783;-25.811205;0.2145776;161.58557;-51.56379;-86.12078;-23.492895;-0.63385165;-0.2257487;0.44032633;68.58821;64.85856;69.901054;14.920507;26.279928;0.99022025;1.9919418;2.982162;0.16411382;2.8180482;-2.9739277;0.008234233;288.59125;287.7781;13.005135;6.365705;1.5438175;7.9095225;2.647619;251.57947;0.11767711;3.176587;0.082029134;6.829914e-05;0.081399605;-0.000502056;7.122078;-0.00023904884;4.422877e-06;2.8504363e-07;2.074512e-06;7.90589e-06;3.3839333e-05;66.73347;412.9434
238.32896;-50.061474;-237.69247;24.35447;-25.707003;0.6364982;161.79066;-51.39765;-86.130646;-23.504412;-0.6459276;0.11203346;0.5244648;68.82079;64.39287;70.00733;14.83834;26.392889;0.97204816;2.0090792;2.9811275;0.16724047;2.8138871;-2.9741905;0.006937003;288.5623;287.75284;13.005844;6.30904;1.5636058;7.872646;2.6515346;251.51593;0.114662655;3.1164854;0.08050602;6.8622096e-05;0.08080902;-0.0101063335;7.1120677;-0.00022595238;4.462288e-06;2.7838774e-07;2.012543e-06;7.726248e-06;3.441657e-05;65.62465;412.6879
237.82129;-50.697273;-237.86662;24.45785;-26.239424;-0.045340266;161.26451;-51.278393;-86.55758;-23.18185;-0.6333298;-0.38664433;0.34130406;68.75827;65.49868;70.64274;14.824307;26.505295;0.98620087;2.010836;2.9970367;0.16397871;2.8330579;-2.9890225;0.008014209;288.63376;287.8932;13.018372;6.5083814;1.5185285;8.02691;2.665361;251.6792;0.1145997;3.1577463;0.081058934;5.0659302e-05;0.08044726;-0.0013482699;7.2312956;-0.00014739497;4.490299e-06;2.8541174e-07;2.0449913e-06;7.8204475e-06;2.8181023e-05;66.076035;408.4886
238.13245;-50.177315;-237.74713;24.346184;-25.83113;0.38532075;161.62154;-51.538555;-86.45307;-23.287514;-0.6567626;-0.31435958;0.6996803;68.5127;64.48013;70.113914;14.855865;26.450428;0.97931737;2.0116138;2.9909313;0.17004581;2.8208854;-2.9852412;0.0056900177;288.54773;287.74866;12.950694;6.4169517;1.5396713;7.956623;2.6620376;251.60155;0.12199813;3.1140766;0.08115688;6.0306636e-05;0.08014612;0.0044331015;7.1845145;-0.00019797032;4.401731e-06;2.787817e-07;1.9757488e-06;7.845559e-06;3.6397767e-05;66.50971;413.95847
238.3074;-50.077183;-237.69537;24.403652;-25.67353;0.6120293;161.82677;-51.412487;-86.23479;-23.33361;-0.63529813;0.21057379;0.40145552;68.68281;64.25032;69.41392;14.908102;26.351425;0.98428696;2.002352;2.9866388;0.16448835;2.8221505;-2.9778612;0.008777698;288.56192;287.75705;13.017601;6.3472095;1.5476333;7.8948426;2.6464293;251.50261;0.118018486;3.1085696;0.08232629;6.204007e-05;0.080899045;0.017325317;7.000157;-0.00022208517;4.3250598e-06;2.7608942e-07;1.961859e-06;7.5915846e-06;3.5538054e-05;65.17548;415.78723
238.05548;-50.44249;-237.8267;24.465519;-25.976969;0.22877954;161.64262;-51.467464;-86.263756;-23.439394;-0.64704865;-0.17503366;0.4038132;68.811714;64.87397;70.59323;14.9258175;26.351662;0.982733;2.004755;2.987488;0.16753072;2.8199573;-2.978731;0.008757196;288.57944;287.76514;13.013384;6.393262;1.5397786;7.93304;2.6583612;251.66978;0.11550196;3.1286395;0.081805356;4.4685843e-05;0.081249535;-0.0029018682;7.0728364;-0.00011858317;4.4047974e-06;2.7510822e-07;1.957043e-06;7.793411e-06;2.6711756e-05;65.237564;408.69754
238.23601;-49.96074;-237.94836;24.382187;-25.578552;0.28765;161.74431;-51.7751;-86.226074;-23.542488;-0.6494383;-0.44879344;0.7364434;68.379654;64.47808;70.22494;14.852458;26.330164;0.9804941;2.001738;2.982232;0.16814946;2.8140826;-2.9774368;0.004795278;288.63092;287.90482;12.944851;6.4278245;1.5447063;7.972531;2.6525903;251.62234;0.127641;3.1114368;0.081646204;6.110439e-05;0.08261901;-0.0007440659;7.216721;-0.00019808108;4.490038e-06;2.8141403e-07;1.9943207e-06;7.994181e-06;3.818929e-05;65.803505;415.86652
238.11722;-50.198933;-237.71208;24.471973;-25.726957;0.4051368;161.53912;-51.389256;-85.93533;-23.355946;-0.65865713;0.19993377;0.20520303;68.830475;64.92339;70.57123;14.931023;26.455442;0.9957948;1.9800864;2.975881;0.17053634;2.8053448;-2.9673645;0.008516643;288.65482;287.89664;13.058263;6.422458;1.5183797;7.940838;2.6661613;251.5708;0.118866235;3.096243;0.08123393;4.743114e-05;0.0823035;-0.0014007457;7.294672;-0.00014286707;4.423587e-06;2.790926e-07;1.9547365e-06;7.756554e-06;3.772981e-05;67.2654;411.7513
