SCRE;SCF;LCRE;LCF;CFnet;Fnet;SW_surf;LW_surf;LH;SH;Lf_snow;Fnet_surf;Fnet_toa_min_surf;CC;LWP;IWP;PWAT;Prcp_lsc;Prcp_cv;Prcp_tot;Prcp_snow;Prcp_rain;Temp_srf;Temp_2m;burden_CDNC;burden_ICNC;burden_SO4;burden_BC;burden_OC;burden_SS;burden_DU
237.59036;-50.766243;-237.03337;24.715166;-26.051075;0.5569935;161.16197;-50.77564;-86.778946;-22.833467;-0.643656;0.13026576;0.42672774;69.44398;65.819435;15.243701;26.345947;0.9951563;2.0111418;3.006298;0.16665232;2.8396459;288.37677;287.59235;3.243444;0.0835263;3.997388e-06;2.6771474e-07;1.9677118e-06;7.5642083e-06;2.813235e-05
237.66663;-50.7147;-237.27724;24.790455;-25.924244;0.3893785;161.11699;-51.13283;-86.1237;-23.378162;-0.6433497;-0.16105124;0.5504297;69.21376;65.79653;15.415923;26.426193;0.9885324;1.9938941;2.9824264;0.16657302;2.8158534;288.57068;287.83533;3.233861;0.08387785;4.318525e-06;2.7832323e-07;2.0196028e-06;7.707996e-06;3.2136915e-05
237.99738;-50.49725;-237.43979;24.83188;-25.665369;0.55758184;161.34439;-51.309494;-86.11183;-23.273603;-0.64660823;0.002854353;0.5547275;68.70138;65.18982;15.384473;26.54837;0.98051834;2.0005128;2.9810312;0.1674167;2.8136144;288.7139;287.94095;3.192313;0.0849032;4.491124e-06;2.877194e-07;2.108663e-06;7.672134e-06;3.134964e-05
237.72433;-50.55121;-237.57109;24.549603;-26.001606;0.15324083;161.10251;-51.25606;-86.219;-23.276743;-0.6267669;-0.27605724;0.42929807;68.91099;65.456955;15.185346;26.464111;0.980954;2.0023751;2.983329;0.16227949;2.8210497;288.61148;287.88617;3.2001622;0.08216284;4.4267767e-06;2.8145323e-07;2.0421874e-06;7.9238225e-06;3.9313607e-05
237.91054;-50.51621;-237.57233;24.725521;-25.790688;0.3382181;161.39471;-51.48358;-85.85063;-23.625238;-0.6463305;-0.21106833;0.5492864;69.03994;65.08352;15.292686;26.414583;0.97586954;1.9966142;2.9724839;0.16734478;2.805139;288.67752;287.87128;3.1765947;0.08374697;4.524444e-06;2.8431663e-07;2.075288e-06;7.736256e-06;2.9696579e-05
237.67122;-50.613857;-237.7613;24.399939;-26.213917;-0.09008999;161.09247;-51.23113;-86.522705;-23.31543;-0.66306794;-0.63986564;0.54977566;68.32603;65.86277;15.178142;26.431911;0.9892919;2.0044456;2.9937375;0.17167836;2.822059;288.57385;287.79608;3.2115588;0.0826707;4.393667e-06;2.8013784e-07;1.981966e-06;7.884073e-06;3.358532e-05
237.82784;-50.266438;-237.75946;24.403654;-25.862782;0.06837135;161.1842;-51.30482;-86.44003;-23.252699;-0.63113344;-0.4444883;0.51285964;68.4223;65.544785;15.202915;26.405968;0.98663694;2.007008;2.993645;0.16341004;2.830235;288.59305;287.8638;3.1868074;0.08162293;4.480436e-06;2.8574973e-07;2.0113175e-06;7.989616e-06;4.3256972e-05
237.73247;-50.515396;-237.9056;24.438635;-26.076761;-0.17312533;161.1832;-51.412613;-86.40846;-23.358402;-0.63883805;-0.63511515;0.46198985;68.39953;65.80022;15.152121;26.438316;0.983606;2.0055141;2.98912;0.16540489;2.8237152;288.62802;287.88974;3.2128103;0.081778005;4.4577996e-06;2.7837862e-07;1.9493793e-06;8.143882e-06;3.654098e-05
238.0468;-50.211655;-237.66273;24.511675;-25.699982;0.38405985;161.44328;-51.45612;-85.755394;-23.553127;-0.6393715;0.039268665;0.34479117;68.60738;64.89342;15.221995;26.4648;0.9744011;1.9957428;2.9701438;0.16554299;2.804601;288.64587;287.8661;3.1660962;0.082744405;4.4411663e-06;2.7986704e-07;1.9926588e-06;7.89596e-06;3.8942955e-05
238.16736;-50.15171;-237.76385;24.51163;-25.640081;0.4034931;161.64337;-51.640476;-85.855545;-23.563303;-0.6205825;-0.036538966;0.44003206;68.41401;64.81266;15.208692;26.33935;0.97470313;1.9984987;2.9732018;0.16067824;2.8125236;288.65552;287.8407;3.1635149;0.08230801;4.481429e-06;2.8080822e-07;1.9837687e-06;7.801864e-06;3.9652656e-05
