SW;SCRE;LW;LCRE;CFnet;Fnet;SW_surf;LW_surf;LH;SH;Lf_snow;Fnet_surf;Fnet_toa_min_surf;CC;LWP;LWP_oc;IWP;PWAT;Prcp_lsc;Prcp_cv;Prcp_tot;Prcp_snow;Prcp_rain;Temp_srf;Temp_2m;CC3d;LWC;IWC;TWC;Q;Temp_tot;AOD;CDNC;ICNC;W_LARGE;W_TURB;v;u;omega;incl_cdnc;incl_icnc
238.07755;-50.534264;-237.5344;24.46807;-26.066196;0.5431654;161.62842;-50.871082;-87.20337;-22.824162;-0.63205236;0.0977594;0.445406;68.964905;65.16333;70.260414;14.888414;26.471992;0.99412143;2.0275815;3.021703;0.16364796;2.858055;288.4412;287.67728;13.0570135;6.4835696;1.5576515;8.041221;2.6646948;251.56746;0.10777673;3.1401224;0.08102763;6.296156e-05;0.08013148;0.008744084;7.139255;-0.0002107113;65.01505;412.72946
237.91882;-50.61199;-237.86537;24.404305;-26.207687;0.053457234;161.29834;-51.059742;-86.986145;-23.095251;-0.6455215;-0.48832038;0.5417777;68.551796;65.4378;70.69473;14.840028;26.569294;0.993771;2.01452;3.008291;0.16713533;2.8411558;288.58615;287.84778;12.990354;6.5261555;1.5377326;8.063889;2.674073;251.63063;0.11655158;3.187351;0.080993384;5.9423382e-05;0.081248775;-5.899314e-05;7.0740614;-0.00018851538;66.06784;413.54797
237.86984;-50.537643;-237.66705;24.555956;-25.981686;0.20277643;161.29451;-51.11421;-86.653435;-23.244549;-0.63745433;-0.35513246;0.5579089;68.90003;65.52875;70.522255;14.902559;26.49565;1.0026345;1.9976795;3.000314;0.1650466;2.8352673;288.6298;287.8222;13.019826;6.5245605;1.5004008;8.024961;2.6670213;251.57687;0.11819109;3.1860921;0.082817376;6.2633495e-05;0.08065693;0.002480844;7.175694;-0.00020738308;66.14761;412.31818
237.7794;-50.532963;-237.76381;24.526804;-26.006159;0.015586606;161.16182;-51.36304;-86.44887;-23.276821;-0.6367134;-0.56363213;0.5792187;68.55186;65.41612;71.00526;14.843116;26.566412;0.98386955;2.00793;2.9917996;0.16485476;2.8269448;288.62622;287.8381;12.975406;6.5375056;1.5191338;8.05664;2.670365;251.6978;0.12473007;3.187482;0.08315558;6.446155e-05;0.08220813;-0.012502589;7.2187686;-0.00022733654;66.604706;415.94592
238.12007;-50.084248;-237.70726;24.323572;-25.760675;0.41281262;161.57193;-51.43476;-86.15193;-23.393068;-0.6543393;-0.06217229;0.47498494;68.669655;64.83544;70.1985;14.893148;26.397636;0.9799121;2.001206;2.981118;0.1694184;2.8116996;288.53253;287.81497;13.007357;6.4241652;1.590306;8.014471;2.6603076;251.52847;0.121722504;3.1163092;0.07962735;6.705593e-05;0.08211463;0.005783848;7.217363;-0.00023955891;65.22521;410.8855
238.4557;-50.074074;-237.6303;24.401348;-25.672726;0.82541406;161.91452;-51.348423;-86.331314;-23.22207;-0.6429665;0.36974883;0.45566526;68.54669;64.56097;70.09768;14.893477;26.49607;0.9807632;2.0087063;2.9894695;0.1664738;2.822996;288.56943;287.82254;12.996645;6.238971;1.5168878;7.755859;2.6633427;251.59077;0.11909287;3.1122305;0.08213222;5.4700482e-05;0.07918643;0.008408332;7.0140014;-0.0001842944;65.52778;417.51593
238.28203;-49.968716;-237.90831;24.383335;-25.58538;0.3737094;161.72084;-51.55583;-85.933105;-23.673027;-0.640975;-0.08210246;0.4558119;68.75388;64.06847;69.32392;14.858089;26.389881;0.982826;1.9918903;2.9747162;0.16595817;2.808758;288.64038;287.8356;12.976915;6.2986827;1.5307527;7.829436;2.648595;251.59468;0.12478519;3.102816;0.08229564;5.849118e-05;0.08047789;0.010312633;7.007485;-0.0001820186;66.41901;418.37854
238.24191;-49.806168;-237.75021;24.424541;-25.381626;0.49169475;161.65909;-51.647533;-85.688774;-23.676884;-0.6573389;-0.011445066;0.5031398;68.54828;64.13096;70.03439;14.882594;26.382414;0.980783;1.9847652;2.965548;0.17019503;2.7953532;288.64133;287.8923;12.915024;6.354055;1.5310428;7.8850975;2.6673694;251.61061;0.13080199;3.1172574;0.082844414;4.6465328e-05;0.081337765;-0.007835269;7.1778593;-0.00011836323;66.39066;414.75192
238.34254;-50.11621;-237.69563;24.484947;-25.631266;0.6469203;161.92142;-51.58636;-86.076164;-23.580807;-0.631668;0.046415865;0.60050446;68.81862;64.27332;69.347595;14.908126;26.331959;0.98900354;1.9897515;2.978755;0.16354844;2.8152065;288.59402;287.83633;13.012755;6.315598;1.5381162;7.853714;2.6642077;251.56783;0.11091326;3.1112156;0.08172094;6.334608e-05;0.081168324;-0.008136882;7.3768096;-0.00020855435;72.98717;411.84128
237.97122;-50.520405;-238.04987;24.331095;-26.189308;-0.07864101;161.46478;-51.461636;-86.46652;-23.400324;-0.63532573;-0.49902984;0.42038885;68.497246;65.25014;70.7072;14.783816;26.45061;0.97939634;2.0151212;2.9945176;0.16449548;2.830022;288.60223;287.84772;12.930041;6.2957983;1.5312613;7.8270597;2.6586425;251.71881;0.114787675;3.1561399;0.081360176;5.3731343e-05;0.08232395;-0.01819528;6.96945;-0.00014029768;65.86595;415.23877
