SCRE;SCF;LCRE;LCF;CFnet;Fnet;SW_surf;LW_surf;LH;SH;Lf_snow;Fnet_surf;Fnet_toa_min_surf;CC;LWP;IWP;PWAT;Prcp_lsc;Prcp_cv;Prcp_tot;Prcp_snow;Prcp_rain;Temp_srf;Temp_2m
237.21727;-49.14208;-237.06644;25.078728;-24.06335;0.15082695;160.93156;-55.45691;-79.04649;-26.832743;-0.6277839;-1.0323651;1.183192;61.388897;83.0682;48.728516;25.500332;1.0629005;1.6653544;2.7282548;0.16254279;2.565712;288.38098;287.64
237.44363;-48.904617;-236.99701;25.106934;-23.797682;0.44662336;161.35205;-55.905247;-78.440674;-27.131294;-0.63350457;-0.7586738;1.2052971;61.25932;82.78857;48.733067;25.261345;1.0578638;1.650095;2.707959;0.16402397;2.5439348;288.3933;287.64832
237.59825;-48.875835;-237.20538;25.132597;-23.743238;0.39286268;161.47989;-56.050617;-78.289795;-27.36669;-0.6329109;-0.8601199;1.2529826;61.010185;82.32604;48.689087;25.452898;1.0456307;1.6563126;2.7019432;0.16387025;2.538073;288.57797;287.84167
237.42776;-49.012093;-237.22173;24.96681;-24.04528;0.20604347;161.34753;-55.969666;-78.55395;-27.292826;-0.63747996;-1.1063772;1.3124207;60.84909;83.681854;48.731964;25.3938;1.05592;1.6557316;2.7116516;0.16505325;2.5465984;288.4666;287.74554
237.32751;-48.98267;-236.76782;25.00108;-23.981588;0.5596927;161.3177;-56.10577;-78.0097;-27.054379;-0.65991455;-0.51204854;1.0717412;61.029045;82.34256;48.588364;25.204048;1.0369226;1.657072;2.6939945;0.1708619;2.5231326;288.35666;287.61255
237.96889;-48.05058;-236.88225;24.681526;-23.369053;1.0866393;162.13374;-56.611435;-77.95581;-27.135113;-0.6574957;-0.22611263;1.3127519;60.44276;80.61508;48.322037;24.895874;1.028244;1.6623098;2.690554;0.17023562;2.5203183;288.21387;287.47864
237.70749;-48.384388;-236.83997;24.845407;-23.538982;0.86752397;161.69696;-56.402603;-77.81143;-27.225468;-0.6656861;-0.4082314;1.2757554;60.73725;81.397606;48.43867;25.299366;1.0332407;1.6518785;2.6851192;0.17235623;2.512763;288.348;287.63046
237.11409;-49.0309;-237.32956;24.9497;-24.0812;-0.21545961;160.91025;-55.97603;-78.63657;-27.146868;-0.65666395;-1.505886;1.2904264;60.8876;83.12942;48.74775;25.582067;1.0525866;1.6616027;2.7141893;0.17002028;2.544169;288.47678;287.77078
237.89282;-48.361923;-236.7827;24.754658;-23.607264;1.1101342;161.84966;-56.425438;-77.8702;-26.967884;-0.657784;-0.07165122;1.1817855;60.552235;81.142365;48.513474;25.028389;1.0411192;1.6468812;2.6880004;0.17031027;2.5176902;288.28024;287.5499
237.5788;-48.444534;-237.10475;24.789927;-23.654608;0.47403553;161.53157;-56.688286;-77.619835;-27.445633;-0.65354055;-0.8757256;1.3497611;60.52746;82.28896;48.367264;25.110064;1.036933;1.6418519;2.6787848;0.16921158;2.5095732;288.3739;287.6541
