SW;SCRE;LW;LCRE;CFnet;Fnet;SW_surf;LW_surf;LH;SH;Lf_snow;Fnet_surf;Fnet_toa_min_surf;CC;LWP;IWP;PWAT;Prcp_lsc;Prcp_cv;Prcp_tot;Prcp_snow;Prcp_rain;Temp_srf;Temp_2m
236.70366;-49.58393;-236.6085;25.171177;-24.412754;0.095156714;160.4285;-55.17947;-79.24943;-26.67341;-0.63570184;-1.3095207;1.4046774;61.464924;84.608864;48.866238;25.495193;1.0791667;1.6545753;2.733742;0.16459288;2.5691493;288.33286;287.59592
236.9729;-49.231846;-237.2522;25.015516;-24.216331;-0.2793018;160.83179;-55.82597;-78.71595;-27.115211;-0.62799895;-1.4533395;1.1740377;60.914906;83.76955;48.654182;25.52929;1.059588;1.6578472;2.7174351;0.16259846;2.5548368;288.44394;287.72775
237.56401;-48.571938;-237.05995;24.98927;-23.582668;0.5040566;161.50916;-56.115677;-78.38481;-27.183167;-0.64947224;-0.82398075;1.3280373;60.979786;82.198555;48.641407;25.364271;1.0454056;1.6598325;2.705238;0.16815823;2.5370798;288.4433;287.7166
237.52684;-48.66024;-237.16446;25.036402;-23.623838;0.36237493;161.52525;-56.280678;-78.43308;-27.041977;-0.6456843;-0.87616664;1.2385416;61.05401;82.51064;48.6927;25.275064;1.0521798;1.6556228;2.7078025;0.16717748;2.540625;288.50555;287.7506
237.45265;-48.62812;-237.12286;24.890104;-23.738016;0.32979476;161.53534;-56.35768;-78.318665;-27.146152;-0.64560956;-0.93276536;1.2625601;60.88131;82.540726;48.573544;25.196486;1.0460668;1.6570996;2.7031662;0.16715813;2.5360081;288.453;287.7046
237.42819;-48.499775;-237.19447;24.810972;-23.688803;0.23371617;161.54655;-56.510925;-78.1222;-27.129318;-0.661483;-0.87737364;1.1110898;60.29095;81.55012;48.640285;25.191471;1.0431975;1.6553402;2.6985376;0.17126799;2.5272696;288.38965;287.67267
238.17336;-47.6103;-236.75153;24.628002;-22.982294;1.4218283;162.46448;-57.01236;-77.45546;-27.169641;-0.6798602;0.14716059;1.2746676;60.138054;79.96412;48.424847;24.848515;1.0231614;1.6495528;2.6727142;0.17602612;2.4966881;288.20456;287.48282
237.68855;-48.102085;-236.55759;25.026754;-23.075333;1.130957;161.68665;-56.295143;-77.5809;-27.42281;-0.642547;-0.25475797;1.385715;60.843334;80.93431;48.77024;25.337826;1.0351808;1.6408182;2.675999;0.16636518;2.5096338;288.42975;287.69724
236.4674;-49.344414;-237.14615;24.911762;-24.432652;-0.6787476;160.22844;-55.591087;-78.75056;-27.091864;-0.6424041;-1.847473;1.1687255;61.025303;84.21496;48.84992;25.626982;1.0661758;1.6538029;2.7199788;0.16632818;2.5536506;288.44452;287.731
237.50781;-48.329983;-237.10468;24.738846;-23.591137;0.4031346;161.52702;-56.464848;-77.970764;-27.27625;-0.6596981;-0.84453845;1.247673;60.31292;81.74847;48.548843;25.120258;1.0312688;1.6606058;2.6918747;0.17080587;2.5210688;288.3778;287.65933
