var,formula,file
SW,rsdt-rsut,atm_2d_ml
SCRE,(rsdt-rsut)-(rsdt-rsutcs),atm_2d_ml
LW,-rlut,atm_2d_ml
LCRE,-rlut+rlutcs,atm_2d_ml
CFnet,(rsdt-rsut)-(rsdt-rsutcs)-rlut+rlutcs,atm_2d_ml
Fnet,(rsdt-rsut)-rlut,atm_2d_ml
SW_surf,rsds-rsus,atm_2d_ml
LW_surf,rlds-rlus,atm_2d_ml
LH,hfls,atm_2d_ml
SH,hfss,atm_2d_ml
Lf_snow,-(prls+prcs)*333700.,atm_2d_ml
Fnet_surf,(rsds-rsus)+(rlds-rlus)+hfls+hfss-(prls+prcs)*333700.,atm_2d_ml
Fnet_toa_min_surf,(rsdt-rsut)-rlut-(rsds-rsus)-(rlds-rlus)-hfls-hfss+(prls+prcs)*333700.,atm_2d_ml
CC,clt*100,atm_2d_ml
LWP,cllvi*1.e3,atm_2d_ml
IWP,clivi*1.e3,atm_2d_ml
PWAT,prw,atm_2d_ml
Prcp_lsc,(prlr+prls)*8.64e4,atm_2d_ml
Prcp_cv,(prcr+prcs)*8.64e4,atm_2d_ml
Prcp_tot,pr*8.64e4,atm_2d_ml
Prcp_snow,(prls+prcs)*8.64e4,atm_2d_ml
Prcp_rain,(prlr+prcr)*8.64e4,atm_2d_ml
Temp_srf,ts,atm_2d_ml
Temp_2m,tas,atm_2d_ml
Evap,evspsbl*8.64e4,atm_2d_ml
Prcp_tot_minus_evap,(pr+evspsbl)*8.64e4,atm_2d_ml
